2L 8 x 4 x 7/16,4,8,0.4375,0.9375,34.8,10.2,12.1,3.81,1.09,0.829,3.82,3.96,4.1,4.02,0.977
2L 7 x 4 x 3/4,4,7,0.75,1.25,52.4,15.4,18,6.01,1.08,1,3.34,3.48,3.63,3.57,0.969
2L 7 x 4 x 5/8,4,7,0.625,1.125,44.2,13,15.6,5.12,1.1,0.958,3.31,3.46,3.6,3.55,0.967
2L 7 x 4 x 1/2,4,7,0.5,1,35.8,10.5,13,4.2,1.11,0.91,3.29,3.43,3.57,3.53,0.965
2L 7 x 4 x 7/16,4,7,0.4375,0.9375,31.5,9.27,11.6,3.72,1.12,0.886,3.28,3.42,3.56,3.53,0.964
2L 7 x 4 x 3/8,4,7,0.375,0.875,27.2,8,10.1,3.22,1.12,0.861,3.26,3.4,3.54,3.52,0.963
2L 6 x 4 x 7/8,4,6,0.875,1.375,54.3,16,19.4,6.74,1.1,1.12,2.82,2.96,3.11,3.1,0.952
2L 6 x 4 x 3/4,4,6,0.75,1.25,47.2,13.9,17.3,5.9,1.12,1.07,2.8,2.94,3.08,3.09,0.949
2L 6 x 4 x 5/8,4,6,0.625,1.125,39.9,11.7,15,5.03,1.13,1.03,2.77,2.91,3.06,3.08,0.946
2L 6 x 4 x 9/16,4,6,0.5625,1.0625,36.1,10.6,13.7,4.58,1.14,1,2.76,2.9,3.04,3.07,0.945
2L 6 x 4 x 1/2,4,6,0.5,1,32.3,9.5,12.4,4.12,1.14,0.981,2.75,2.89,3.03,3.07,0.943
2L 6 x 4 x 7/16,4,6,0.4375,0.9375,28.5,8.36,11.1,3.65,1.15,0.957,2.74,2.88,3.02,3.06,0.942
2L 6 x 4 x 3/8,4,6,0.375,0.875,24.6,7.22,9.72,3.17,1.16,0.933,2.73,2.86,3,3.06,0.94
2L 6 x 4 x 5/16,4,6,0.3125,0.8125,20.6,6.05,8.26,2.67,1.17,0.908,2.72,2.85,2.99,3.05,0.939
2L 6 x 3 1/2 x 1/2,3.5,6,0.5,1,30.7,9.04,8.47,3.17,0.968,0.829,2.82,2.96,3.11,3.04,0.964
2L 6 x 3 1/2 x 3/8,3.5,6,0.375,0.875,23.4,6.88,6.65,2.45,0.984,0.781,2.8,2.94,3.08,3.02,0.962
2L 6 x 3 1/2 x 5/16,3.5,6,0.3125,0.8125,19.7,5.78,5.68,2.07,0.991,0.756,2.78,2.92,3.06,3.02,0.96
2L 5 x 3 1/2 x 3/4,3.5,5,0.75,1.1875,39.6,11.6,11,4.4,0.974,0.993,2.33,2.47,2.62,2.6,0.943
2L 5 x 3 1/2 x 5/8,3.5,5,0.625,1.0625,33.5,9.85,9.6,3.76,0.987,0.947,2.3,2.45,2.59,2.59,0.94
2L 5 x 3 1/2 x 1/2,3.5,5,0.5,0.9375,27.2,8.01,8.04,3.09,1,0.901,2.28,2.42,2.57,2.58,0.936
2L 5 x 3 1/2 x 3/8,3.5,5,0.375,0.8125,20.8,6.1,6.31,2.38,1.02,0.854,2.26,2.39,2.54,2.56,0.933
2L 5 x 3 1/2 x 5/16,3.5,5,0.3125,0.75,17.4,5.12,5.38,2.01,1.02,0.829,2.25,2.38,2.52,2.56,0.931
2L 5 x 3 1/2 x 1/4,3.5,5,0.25,0.6875,14.1,4.13,4.4,1.63,1.03,0.804,2.23,2.37,2.51,2.55,0.929
2L 5 x 3 x 1/2,3,5,0.5,0.9375,25.5,7.51,5.1,2.26,0.824,0.746,2.35,2.5,2.64,2.54,0.962
2L 5 x 3 x 7/16,3,5,0.4375,0.875,22.5,6.62,4.58,2.01,0.831,0.722,2.34,2.48,2.63,2.54,0.961
2L 5 x 3 x 3/8,3,5,0.375,0.8125,19.5,5.73,4.02,1.75,0.838,0.698,2.33,2.47,2.62,2.53,0.959
2L 5 x 3 x 5/16,3,5,0.3125,0.75,16.4,4.81,3.44,1.48,0.846,0.673,2.32,2.46,2.6,2.52,0.958
2L 5 x 3 x 1/4,3,5,0.25,0.6875,13.2,3.88,2.82,1.2,0.853,0.648,2.3,2.44,2.58,2.51,0.957
2L 4 x 3 1/2 x 1/2,3.5,4,0.5,0.875,23.8,7.01,7.53,3,1.04,0.994,1.75,1.89,2.03,2.16,0.882
2L 4 x 3 1/2 x 3/8,3.5,4,0.375,0.75,18.2,5.35,5.92,2.32,1.05,0.947,1.73,1.86,2,2.16,0.876
2L 4 x 3 1/2 x 5/16,3.5,4,0.3125,0.6875,15.3,4.5,5.05,1.96,1.06,0.923,1.72,1.85,1.99,2.16,0.874
2L 4 x 3 1/2 x 1/4,3.5,4,0.25,0.625,12.4,3.63,4.13,1.59,1.07,0.897,1.7,1.83,1.97,2.15,0.871
2L 4 x 3 x 5/8,3,4,0.625,1,27.1,7.98,5.7,2.67,0.845,0.867,1.84,1.98,2.13,2.1,0.93
2L 4 x 3 x 1/2,3,4,0.5,0.875,22.1,6.51,4.79,2.2,0.858,0.822,1.81,1.95,2.1,2.09,0.925
2L 4 x 3 x 3/8,3,4,0.375,0.75,16.9,4.98,3.79,1.7,0.873,0.775,1.79,1.93,2.07,2.08,0.92
2L 4 x 3 x 5/16,3,4,0.3125,0.6875,14.2,4.19,3.24,1.44,0.88,0.75,1.78,1.91,2.06,2.07,0.918
2L 4 x 3 x 1/4,3,4,0.25,0.625,11.5,3.38,2.66,1.17,0.887,0.725,1.76,1.9,2.04,2.06,0.915
2L 3 1/2 x 3 x 1/2,3,3.5,0.5,0.875,20.6,6.04,4.65,2.18,0.877,0.869,1.55,1.69,1.84,1.88,0.892
2L 3 1/2 x 3 x 7/16,3,3.5,0.4375,0.8125,18.2,5.34,4.18,1.94,0.885,0.846,1.54,1.67,1.82,1.88,0.889
2L 3 1/2 x 3 x 3/8,3,3.5,0.375,0.75,15.8,4.63,3.69,1.69,0.892,0.823,1.52,1.66,1.81,1.88,0.885
2L 3 1/2 x 3 x 5/16,3,3.5,0.3125,0.6875,13.3,3.91,3.16,1.44,0.9,0.798,1.51,1.65,1.79,1.87,0.883
