2L 76 x 64 x 10,76.2,63.5,9.53,19.05,19.49,24.9,137.36,26.38,2.35,2.41,2.57,2.92,3.3,3.99,0.76
2L 76 x 64 x 8,76.2,63.5,7.94,17.46,16.52,20.97,117.79,22.29,2.37,2.35,2.54,2.9,3.28,3.99,0.76
2L 76 x 64 x 6,76.2,63.5,6.35,15.88,13.35,17.03,96.98,18.19,2.39,2.29,2.52,2.84,3.23,3.99,0.76
2L 76 x 64 x 5,76.2,63.5,4.76,14.29,10.15,12.9,74.92,13.86,2.41,2.22,2.49,2.82,3.18,3.99,0.75
2L 76 x 51 x 13,76.2,50.8,12.7,20.64,22.92,29.23,160.25,32.77,2.34,2.74,2.02,2.39,2.79,3.73,0.68
2L 76 x 51 x 10,76.2,50.8,9.53,17.46,17.71,22.58,127.78,25.56,2.38,2.62,1.96,2.31,2.72,3.76,0.68
2L 76 x 51 x 8,76.2,50.8,7.94,15.88,15.03,19.1,109.89,21.63,2.4,2.57,1.93,2.28,2.67,3.76,0.67
2L 76 x 51 x 6,76.2,50.8,6.35,14.29,12.17,15.48,90.74,17.7,2.42,2.49,1.9,2.24,2.62,3.76,0.67
2L 76 x 51 x 5,76.2,50.8,4.76,12.7,9.29,11.81,70.34,13.57,2.44,2.42,1.88,2.21,2.59,3.78,0.67
2L 64 x 51 x 10,63.5,50.8,9.53,15.88,15.77,20.06,76.17,17.86,1.95,2.1,2.07,2.43,2.82,3.28,0.75
2L 64 x 51 x 8,63.5,50.8,7.94,14.29,13.35,17.03,65.76,15.26,1.97,2.04,2.04,2.4,2.79,3.28,0.75
2L 64 x 51 x 6,63.5,50.8,6.35,12.7,10.86,13.81,54.53,12.49,1.99,1.98,2.02,2.36,2.74,3.28,0.74
2L 64 x 51 x 5,63.5,50.8,4.76,11.11,8.29,10.58,42.46,9.59,2.01,1.92,1.99,2.33,2.72,3.28,0.74
2L 203 x 152 x 25,152.4,203.2,25.4,38.1,132.15,168.39,3229.96,291.69,4.37,4.19,9.22,9.58,9.93,10.62,0.92
2L 203 x 152 x 22,152.4,203.2,22.23,34.93,116.82,149.03,2905.3,260.55,4.42,4.06,9.17,9.53,9.88,10.59,0.92
2L 203 x 152 x 19,152.4,203.2,19.05,31.75,101.19,129.03,2559.82,226.14,4.45,3.96,9.12,9.45,9.8,10.59,0.92
2L 203 x 152 x 16,152.4,203.2,15.88,28.58,85.27,108.39,2197.7,193.37,4.5,3.84,9.07,9.4,9.75,10.57,0.92
