IR 841 x 193.5,247.09628,841,14.7,292,21.7,752,40,29,193.5,139.7,73,1.323,279291,6653,33.5,9074,621,6.1,7653,975,307,15199130,599,9490,1234,3769
IR 836 x 175.6,223.87052,836,14.0,292,18.8,752,37,29,175.6,139.7,72,1.524,245577,5883,33.0,7784,534,5.9,6801,841,221,12943429,595,8158,1064,3343
IR 899 x 864.6,1096.772,899,50.0,411,89.9,679,110,43,864.6,139.7,110,0.244,1373564,30644,35.3,105307,5113,9.8,36215,8062,22352,170788811,832,77003,6588,18190
IR 883 x 782.8,993.5464,883,45.5,407,82.0,679,102,41,782.8,139.7,109,0.264,1219558,27530,35.1,92820,4556,9.7,32610,7178,16857,147694727,813,67846,5965,16272
IR 869 x 709.9,903.224,869,41.4,403,74.9,679,95,40,709.9,139.7,108,0.287,1086364,25072,34.8,81998,4080,9.5,29333,6391,12778,128897216,800,60354,5391,14683
IR 855 x 644.4,819.3532,855,38.1,399,68.1,679,87,38,644.4,139.7,107,0.315,965657,22614,34.3,72840,3638,9.4,26383,5703,9615,111979457,787,53278,4867,13192
IR 843 x 581.9,741.934,843,34.5,396,62.0,673,82,38,581.9,139.7,106,0.343,861599,20484,34.0,64516,3245,9.3,23761,5080,7201,98284127,774,47450,4375,11815
IR 833 x 531.3,677.418,833,31.5,394,56.9,679,77,35,531.3,139.7,105,0.374,778353,18681,33.8,57856,2933,9.2,21631,4572,5578,87274157,761,42456,3998,10717
IR 823 x 485.1,618.06328,823,29.0,391,52.1,673,72,35,485.1,139.7,104,0.406,699269,17043,33.5,51613,2655,9.1,19501,4130,4287,76801258,755,38252,3622,9701
IR 813 x 434.5,554.19244,813,25.9,389,47.0,673,67,33,434.5,139.7,103,0.445,620185,15240,33.5,45785,2360,9.1,17370,3654,3130,67133967,742,33798,3261,8652
IR 803 x 388.4,496.12804,803,23.6,386,41.9,673,62,33,388.4,139.7,102,0.496,545263,13585,33.3,39917,2081,9.0,15453,3212,2252,57735211,735,29552,2884,7669
IR 795 x 349.7,446.45072,795,21.1,384,38.1,673,58,32,349.7,139.7,102,0.547,486991,12258,33.0,35588,1868,8.9,13880,2868,1677,51021815,723,26347,2606,6883
IR 785 x 314,401.28952,785,19.7,384,33.5,673,53,30,314.0,139.7,101,0.614,428718,10897,32.8,31509,1639,8.9,12307,2540,1182,44576954,723,23142,2294,6096
