HSS 20 x 18 x 1/2,20,18,0.5,122.25,35.9,2180,218,7.78,1850,206,7.19,255,238,3220
HSS 20 x 18 x 3/8,20,18,0.375,93.01,27.3,1690,169,7.85,1440,160,7.25,196,183,2450
HSS 20 x 16 x 5/8,20,16,0.625,140.73,41.4,2360,236,7.55,1680,210,6.37,283,243,3280
HSS 20 x 16 x 1/2,20,16,0.5,115.45,33.9,1990,199,7.65,1410,177,6.46,236,203,2670
HSS 20 x 16 x 3/8,20,16,0.375,87.91,25.8,1540,154,7.72,1100,137,6.52,181,156,2040
HSS 20 x 12 x 5/8,20,12,0.581,127,35,1880,188,7.33,851,142,4.93,230,162,1890
HSS 20 x 12 x 1/2,20,12,0.465,103,28.3,1550,155,7.39,705,117,4.99,188,132,1540
HSS 20 x 12 x 3/8,20,12,0.349,78.4,21.5,1200,120,7.45,547,91.1,5.04,144,102,1180
HSS 20 x 12 x 5/16,20,12,0.291,65.8,18.1,1010,101,7.48,464,77.3,5.07,122,85.8,997
HSS 20 x 8 x 5/8,20,8,0.581,110,30.3,1440,144,6.89,338,84.6,3.34,185,96.4,916
HSS 20 x 8 x 1/2,20,8,0.465,89.6,24.6,1190,119,6.96,283,70.8,3.39,152,79.5,757
HSS 20 x 8 x 3/8,20,8,0.349,68.2,18.7,926,92.6,7.03,222,55.6,3.44,117,61.5,586
HSS 20 x 8 x 5/16,20,8,0.291,57.3,15.7,786,78.6,7.07,189,47.4,3.47,98.6,52,496
HSS 20 x 4 x 1/2,20,4,0.465,75.9,20.9,838,83.8,6.33,58.7,29.3,1.68,115,34,195
HSS 20 x 4 x 3/8,20,4,0.349,58,16,657,65.7,6.42,47.6,23.8,1.73,89.3,26.8,156
HSS 20 x 4 x 5/16,20,4,0.291,48.8,13.4,560,56,6.46,41.2,20.6,1.75,75.6,22.9,134
HSS 18 x 12 x 5/8,18,12,0.581,119,32.6,1450,161,6.67,776,129,4.87,196,148,1630
HSS 18 x 12 x 1/2,18,12,0.465,96.4,26.5,1200,133,6.73,643,107,4.93,161,122,1330
HSS 18 x 12 x 3/8,18,12,0.349,73.3,20.1,929,103,6.79,499,83.2,4.98,123,93.6,1020
HSS 18 x 6 x 5/8,18,6,0.581,93.1,25.7,923,103,6,158,52.7,2.48,135,61,462
HSS 18 x 6 x 1/2,18,6,0.465,75.9,20.9,770,85.6,6.07,134,44.6,2.53,112,50.7,387
HSS 18 x 6 x 3/8,18,6,0.349,58,16,602,66.9,6.15,106,35.5,2.58,86.4,39.5,302
HSS 18 x 6 x 5/16,18,6,0.291,48.8,13.4,513,57,6.18,91.3,30.4,2.61,73.1,33.5,257
HSS 18 x 6 x 1/4,18,6,0.233,39.4,10.8,419,46.5,6.22,75.1,25,2.63,59.4,27.3,210
