W 30 x 357,105,32.8,1.24,15.5,2.24,26/03/2004,3.03,1.375,357,05/01/2002,4.12,0.95,18700,1140,13.3,1390,179,3.64,1320,279,134,325000,118,1020,244,654
W 30 x 326,95.8,32.4,1.14,15.4,2.05,26/01/2002,2.84,1.375,326,05/01/2002,4.09,1.03,16800,1040,13.2,1240,162,3.6,1190,252,103,286000,117,919,221,592
W 30 x 292,85.9,32,1.02,15.3,1.85,26/01/2002,2.64,1.3125,292,05/01/2002,4.06,1.13,14900,930,13.2,1100,144,3.58,1060,223,75.2,250000,115,812,199,528
W 30 x 261,76.9,31.6,0.93,15.2,1.65,26/01/2002,2.44,1.3125,261,05/01/2002,4.02,1.26,13100,829,13.1,959,127,3.53,943,196,54.1,215000,114,710,176,468
W 30 x 235,69.2,31.3,0.83,15.1,1.5,26/01/2002,2.29,1.25,235,05/01/2002,4,1.39,11700,748,13,855,114,3.51,847,175,40.3,190000,112,633,159,420
W 30 x 211,62.2,30.9,0.775,15.1,1.32,26/01/2002,2.1,1.1875,211,05/01/2002,3.99,1.56,10300,665,12.9,757,100,3.49,751,155,28.4,166000,112,556,140,372
W 30 x 191,56.3,30.7,0.71,15,1.19,26/01/2002,1.97,1.1875,191,05/01/2002,3.97,1.72,9200,600,12.8,673,89.5,3.46,675,138,21,146000,111,494,125,334
W 30 x 173,51,30.4,0.655,15,1.07,26/01/2002,1.85,1.125,173,05/01/2002,3.94,1.91,8230,541,12.7,598,79.8,3.42,607,123,15.6,129000,110,439,112,300
W 30 x 148,43.5,30.7,0.65,10.5,1.18,26/01/2002,1.83,1.125,148,05/01/2002,2.7,2.48,6680,436,12.4,227,43.3,2.28,500,68,14.5,49400,77.3,239,85.5,247
W 30 x 132,38.9,30.3,0.615,10.5,1,26/01/2002,1.65,1.125,132,05/01/2002,2.68,2.87,5770,380,12.2,196,37.2,2.25,437,58.4,9.72,42100,77.3,204,72.8,216
W 30 x 124,36.5,30.2,0.585,10.5,0.93,26/01/2002,1.58,1.125,124,05/01/2002,2.66,3.09,5360,355,12.1,181,34.4,2.23,408,54,7.99,38700,76.9,188,67.5,202
W 30 x 116,34.2,30,0.565,10.5,0.85,26/01/2002,1.5,1.125,116,05/01/2002,2.64,3.36,4930,329,12,164,31.3,2.19,378,49.2,6.43,34900,76.5,171,61.5,187
W 30 x 108,31.7,29.8,0.545,10.5,0.76,26/01/2002,1.41,1.125,108,05/01/2002,2.61,3.75,4470,299,11.9,146,27.9,2.15,346,43.9,4.99,30800,76.1,152,54.8,170
W 30 x 99,29.1,29.7,0.52,10.5,0.67,26/01/2002,1.32,1.0625,99,05/01/2002,2.57,4.23,3990,269,11.7,128,24.5,2.1,312,38.6,3.77,26900,75.7,133,48.2,154
W 30 x 90,26.4,29.5,0.47,10.4,0.61,26/01/2002,1.26,1.0625,90,05/01/2002,2.56,4.65,3610,245,11.7,115,22.1,2.09,283,34.7,2.84,24000,75.2,119,43.8,139
W 27 x 539,159,32.5,1.97,15.3,3.54,23/05/2008,4.33,1.8125,539,05/01/2002,4.1,0.6,25600,1570,12.7,2110,277,3.65,1890,437,496,443000,111,1490,341,942
W 27 x 494,145,31.97,1.81,15.095,3.27,24,4,1.5625,494,05/01/2002,4.05,0.65,22900,1440,12.6,1890,250,3.61,1710,394,391,386000,108,1340,313,856
W 27 x 448,131,31.42,1.65,14.94,2.99,24,3.6875,1.5,448,05/01/2002,4.01,0.7,20400,1300,12.5,1670,224,3.57,1530,351,297,336000,106,1190,283,766
W 27 x 407,119,30.87,1.52,14.8,2.72,24,3.4375,1.4375,407,05/01/2002,3.96,0.77,18100,1170,12.3,1480,200,3.52,1380,313,225,291000,104,1050,255,688
W 27 x 368,108,30.4,1.38,14.7,2.48,23/05/2008,3.27,1.5,368,05/01/2002,3.93,0.84,16200,1060,12.2,1310,179,3.48,1240,279,170,255000,102,930,230,619
W 27 x 336,98.9,30,1.26,14.6,2.28,23/05/2008,3.07,1.4375,336,05/01/2002,3.89,0.9,14600,972,12.1,1180,162,3.45,1130,252,131,227000,101,836,210,562
W 27 x 307,90.4,29.6,1.16,14.4,2.09,23/05/2008,2.88,1.4375,307,05/01/2002,3.86,0.98,13100,887,12,1050,146,3.41,1030,227,101,199000,99.4,750,191,509
W 27 x 281,82.9,29.3,1.06,14.4,1.93,23/05/2008,2.72,1.375,281,05/01/2002,3.84,1.06,11900,814,12,953,133,3.39,936,206,79.5,178000,98.2,680,175,465
W 27 x 258,76,29,0.98,14.3,1.77,23/05/2008,2.56,1.3125,258,05/01/2002,3.81,1.15,10800,745,11.9,859,120,3.36,852,187,61.6,159000,97.1,613,160,423
W 27 x 235,69.4,28.7,0.91,14.2,1.61,23/05/2008,2.4,1.3125,235,05/01/2002,3.78,1.25,9700,677,11.8,769,108,3.33,772,168,47,141000,96,548,145,383
W 27 x 217,64,28.4,0.83,14.1,1.5,23/05/2008,2.29,1.25,217,05/01/2002,3.76,1.34,8910,627,11.8,704,99.8,3.32,711,154,37.6,128000,95,503,134,352
