WT 15 x 49.5,14.5,14.8,0.52,10.5,0.67,1.32,49.5,322,30,4.71,4.09,63.9,12.2,2.1,1.88,14.3,6.38,0.654
WT 15 x 45,13.2,14.8,0.47,10.4,0.61,1.26,45,290,27.1,4.69,4.04,57.3,11,2.09,1.41,10.5,6.35,0.654
WT 13.5 x 269.5,79.3,16.3,1.97,15.3,3.54,4.33,269.5,1530,128,4.39,4.34,1060,138,3.65,247,1740,6.27,0.832
WT 13.5 x 224,65.5,15.71,1.65,14.94,2.99,3.6875,224,1190,102,4.27,4.02,836,112,3.57,146,977,6.11,0.829
WT 13.5 x 184,54.2,15.2,1.38,14.7,2.48,3.27,184,939,81.7,4.16,3.71,655,89.3,3.48,84.5,532,5.96,0.828
WT 13.5 x 168,49.5,15,1.26,14.6,2.28,3.07,168,839,73.4,4.12,3.58,587,80.8,3.45,65.4,401,5.9,0.829
WT 13.5 x 153.5,45.2,14.8,1.16,14.4,2.09,2.88,153.5,753,66.4,4.08,3.47,527,72.9,3.41,50.5,304,5.85,0.828
WT 13.5 x 140.5,41.4,14.6,1.06,14.4,1.93,2.72,140.5,677,59.9,4.04,3.35,477,66.4,3.39,39.6,232,5.79,0.83
WT 13.5 x 129,38,14.5,0.98,14.3,1.77,2.56,129,613,54.7,4.02,3.27,430,60.2,3.36,30.7,178,5.76,0.829
WT 13.5 x 117.5,34.7,14.3,0.91,14.2,1.61,2.4,117.5,556,50,4,3.2,384,54.2,3.33,23.4,135,5.73,0.825
WT 13.5 x 108.5,32,14.2,0.83,14.1,1.5,2.29,108.5,502,45.2,3.96,3.1,352,49.9,3.32,18.8,105,5.68,0.829
WT 13.5 x 97,28.6,14.1,0.75,14,1.34,2.13,97,444,40.3,3.94,3.02,309,44.1,3.29,13.5,74.3,5.64,0.826
WT 13.5 x 89,26.2,13.9,0.725,14.1,1.19,1.98,89,414,38.2,3.97,3.04,278,39.4,3.25,10,57.7,5.69,0.815
WT 13.5 x 80.5,23.8,13.8,0.66,14,1.08,1.87,80.5,372,34.4,3.95,2.98,248,35.4,3.23,7.53,42.7,5.66,0.814
WT 13.5 x 73,21.6,13.7,0.605,14,0.975,1.76,73,336,31.2,3.95,2.94,222,31.7,3.2,5.62,31.7,5.64,0.811
WT 13.5 x 64.5,18.9,13.8,0.61,10,1.1,1.7,64.5,323,31,4.13,3.39,92.2,18.4,2.21,5.55,24,5.48,0.731
WT 13.5 x 57,16.8,13.6,0.57,10.1,0.93,1.53,57,289,28.3,4.15,3.42,79.3,15.8,2.18,3.65,17.5,5.54,0.715
