TR 263 x 157,201,263,27,293,49,65,157,9532,475,7,6,10239,700,7,1224,27391,11,1
TR 258 x 142.9,182,258,24,291,44,62,143,8408,423,7,6,9157,629,7,932,20328,11,1
TR 254 x 130.2,166,254,23,290,40,51,130,7534,383,7,6,8158,564,7,699,15172,10,1
TR 250 x 117.6,150,250,21,287,37,47,118,6660,341,7,6,7242,503,7,520,11064,10,1
TR 247 x 106.4,135,247,19,284,34,44,106,5910,303,7,5,6493,454,7,399,8244,10,1
TR 245 x 96.7,123,245,17,284,30,41,97,5286,274,7,5,5786,408,7,301,6123,10,1
TR 241 x 88.5,113,241,17,287,27,37,89,4953,261,7,5,5245,369,7,221,4673,10,1
TR 238 x 78.9,101,238,15,284,24,34,79,4329,231,7,5,4579,323,7,155,3249,10,1
TR 236 x 72.2,92,236,14,282,22,32,72,3904,208,7,5,4162,295,7,122,2495,10,1
TR 234 x 64,82,234,12,282,20,30,64,3430,184,6,5,3646,259,7,85,1724,10,1
TR 231 x 56.6,72,231,11,279,17,27,57,2989,161,6,5,3172,226,7,59,1174,10,1
TR 234 x 52.8,67,234,13,194,21,31,53,3255,184,7,6,1253,129,4,72,1063,9,1
TR 233 x 48.4,62,233,11,193,19,29,48,2943,166,7,6,1140,118,4,57,808,9,1
TR 232 x 44.6,57,232,11,192,18,28,45,2693,152,7,5,1041,109,4,45,631,9,1
TR 230 x 40.9,52,230,10,191,16,26,41,2477,141,7,5,937,98,4,35,494,9,1
TR 228 x 37.2,47,228,9,191,14,25,37,2227,128,7,5,832,88,4,26,365,9,1
TR 229 x 34.2,44,229,9,154,15,26,34,2169,127,7,6,470,61,3,25,322,9,1
TR 227 x 29.8,38,227,8,153,13,24,30,1865,110,7,6,398,52,3,17,212,9,1
TR 225 x 26,33,225,8,152,11,21,26,1669,102,7,6,319,42,3,10,161,9,1
TR 215 x 74.4,96,215,15,264,25,43,74,3197,187,6,4,3875,293,6,170,2793,9,1
TR 213 x 66.2,85,213,13,264,22,40,66,2801,166,6,4,3384,257,6,121,1931,9,1
TR 210 x 57.3,74,210,12,262,19,37,57,2373,141,6,4,2880,220,6,80,1238,9,1
TR 207 x 49.9,64,207,10,259,17,35,50,2027,121,6,4,2477,190,6,55,808,9,1
TR 209 x 42.4,54,209,11,181,18,28,42,2027,127,6,5,899,99,4,46,534,8,1
TR 207 x 37.2,48,207,10,180,16,26,37,1761,111,6,5,774,86,4,32,360,8,1
TR 205 x 33.5,43,205,9,179,14,25,33,1573,100,6,5,683,77,4,23,262,8,1
TR 203 x 29.8,38,203,8,178,13,23,30,1378,88,6,5,599,68,4,16,181,8,1
TR 201 x 26.8,34,201,7,178,11,21,27,1274,83,6,5,508,57,4,11,139,8,1
TR 202 x 23.1,29,202,7,140,11,21,23,1145,76,6,5,258,37,3,10,98,8,1
TR 199 x 19.3,25,199,6,140,9,19,19,978,67,6,5,199,29,3,5,65,8,1
TR 290 x 601.2,768,290,95,472,130,145,601,37502,1917,7,9,114880,4867,12,37336,1871695,14,1
TR 284 x 543.2,690,284,78,455,125,140,543,30760,1563,7,9,98231,4326,12,29719,1409813,14,1
TR 274 x 494.8,631,274,72,450,115,130,495,25890,1345,6,8,86576,3867,12,23101,1052661,14,1
TR 267 x 450.2,574,267,66,442,106,121,450,21811,1157,6,8,76587,3458,12,17898,786810,13,1
TR 257 x 409.2,522,257,60,437,97,112,409,18397,998,6,7,67846,3097,11,13777,585408,13,1
TR 249 x 372,474,249,56,432,89,104,372,15609,864,6,7,59937,2769,11,10572,435028,13,1
TR 242 x 338.6,432,242,51,427,82,97,339,13361,752,6,6,53278,2491,11,8158,324928,13,1
TR 237 x 317,404,237,48,424,77,92,317,11946,678,5,6,49115,2311,11,6826,266119,12,1
TR 232 x 296.1,377,232,45,422,72,87,296,10697,616,5,6,45369,2147,11,5619,215097,12,1
TR 228 x 275.3,351,228,42,419,68,83,275,9532,556,5,6,41373,1983,11,4579,171863,12,1
TR 223 x 254.5,325,223,39,417,63,78,254,8449,498,5,5,37586,1803,11,3675,134805,12,1
TR 217 x 231.4,295,217,36,411,57,73,231,7326,438,5,5,33590,1629,11,2810,100701,12,1
TR 213 x 210.6,268,213,33,409,53,68,211,6368,385,5,5,30052,1470,11,2156,75459,12,1
TR 208 x 191.2,244,208,30,406,48,63,191,5536,339,5,4,26847,1322,10,1636,56124,12,1
TR 204 x 173.4,221,204,27,404,44,59,173,4828,298,5,4,23975,1188,10,1232,41355,12,1
TR 200 x 157,200,200,25,401,40,55,157,4246,265,5,4,21353,1065,10,924,30345,11,1
TR 197 x 143.6,183,197,23,399,37,52,144,3738,236,5,4,19396,972,10,720,23416,11,1
TR 193 x 131,167,193,21,399,33,49,131,3351,213,4,4,17440,877,10,549,17509,11,1
TR 190 x 118.3,151,190,19,396,30,45,118,2922,187,4,3,15567,788,10,410,12863,11,1
TR 188 x 107.9,137,188,17,394,28,43,108,2601,167,4,3,14069,716,10,315,9748,11,1
TR 186 x 98.2,125,186,16,373,26,41,98,2406,157,4,3,11405,610,10,255,7143,11,1
TR 184 x 89.3,114,184,15,373,24,39,89,2152,141,4,3,10281,552,9,194,5371,11,1
TR 182 x 81.1,103,182,13,371,22,37,81,1886,124,4,3,9282,501,9,148,4028,11,1
TR 180 x 73.7,94,180,12,371,20,35,74,1702,113,4,3,8366,452,9,112,2981,11,1
TR 178 x 67,85,178,11,368,18,33,67,1519,101,4,3,7534,410,9,84,2232,10,1
TR 182 x 61,77,182,13,257,22,37,61,1715,117,5,4,3084,239,6,105,1512,8,1
TR 180 x 55.1,70,180,11,257,20,35,55,1498,102,5,3,2785,218,6,80,1125,8,1
TR 178 x 50.6,64,178,11,254,18,33,51,1357,93,5,3,2527,198,6,62,862,8,1
TR 177 x 45.4,58,177,10,254,16,31,45,1203,83,5,3,2235,175,6,45,615,8,1
TR 177 x 39.4,50,177,9,205,17,32,39,1149,81,5,4,1199,117,5,40,392,7,1
TR 175 x 35.7,46,175,9,204,15,30,36,1036,74,5,3,1070,105,5,30,287,7,1
TR 173 x 32,41,173,8,203,13,28,32,912,65,5,3,941,93,5,22,202,7,1
TR 179 x 28.3,36,179,8,172,13,23,28,970,69,5,4,554,65,4,17,149,7,1
TR 178 x 25.3,32,178,7,171,12,22,25,870,63,5,4,483,57,4,12,107,7,1
TR 176 x 22.3,29,176,7,171,10,20,22,791,58,5,4,407,48,4,8,77,7,1
TR 177 x 19.3,25,177,6,128,11,21,19,720,54,5,4,185,29,3,7,56,7,1
TR 174 x 16.4,21,174,6,127,9,19,16,616,48,5,4,146,23,3,4,36,7,1
TR 214 x 250,319,214,45,340,75,90,250,7908,511,5,6,24683,1452,9,4995,129166,10,1
TR 207 x 226.9,289,207,41,335,69,84,227,6743,442,5,5,21852,1299,9,3829,95599,10,1
TR 201 x 207.6,265,201,39,333,63,78,208,5869,395,5,5,19521,1168,9,2951,71699,10,1
TR 196 x 187.5,239,196,36,330,57,72,188,5036,342,5,5,17232,1042,8,2227,52364,10,1
TR 191 x 171.1,219,191,33,328,53,68,171,4412,303,4,5,15442,942,8,1732,39743,10,1
TR 187 x 156.3,199,187,30,325,48,64,156,3833,269,4,4,13819,850,8,1336,30076,10,1
TR 183 x 141.4,180,183,27,323,44,59,141,3288,233,4,4,12279,762,8,1011,22047,9,1
TR 178 x 126.5,161,178,24,320,40,55,126,2822,202,4,4,10780,675,8,737,15656,9,1
TR 174 x 113.1,145,174,22,318,36,51,113,2435,177,4,4,9448,596,8,533,11091,9,1
TR 170 x 101.2,129,170,20,315,32,47,101,2106,155,4,3,8283,526,8,383,7761,9,1
TR 167 x 89.3,114,167,18,312,28,43,89,1806,135,4,3,7159,459,8,267,5290,9,1
TR 164 x 78.9,101,164,15,310,25,40,79,1511,113,4,3,6285,405,8,189,3652,9,1
TR 162 x 71.4,91,162,14,310,23,38,71,1332,100,4,3,5619,364,8,142,2712,9,1
TR 159 x 64.7,83,159,13,307,21,36,65,1203,92,4,3,4995,326,8,106,1971,9,1
TR 157 x 58.8,75,157,12,307,19,34,59,1074,82,4,3,4495,293,8,80,1458,9,1
TR 156 x 53.6,68,156,11,305,17,32,54,966,74,4,3,4058,265,8,61,1093,9,1
TR 154 x 48.4,62,154,10,305,15,30,48,857,67,4,3,3630,238,8,45,798,9,1
TR 155 x 43.2,55,155,9,254,16,31,43,795,62,4,3,2227,175,6,44,559,8,1
TR 153 x 39.4,50,153,9,254,15,30,39,737,58,4,3,1994,157,6,33,411,8,1
TR 155 x 37.2,47,155,9,205,16,29,37,778,62,4,3,1174,114,5,36,330,7,1
TR 153 x 33.5,42,153,9,204,15,27,33,691,56,4,3,1041,102,5,26,238,7,1
TR 152 x 29.8,38,152,7,203,13,26,30,599,48,4,3,916,90,5,19,166,7,1
TR 159 x 26,33,159,8,167,13,21,26,666,53,4,3,508,61,4,15,117,7,1
TR 157 x 22.3,28,157,7,166,11,19,22,562,45,4,3,425,51,4,9,72,6,1
TR 155 x 19.3,25,155,6,165,10,17,19,487,39,4,3,360,44,4,6,47,6,1
TR 156 x 16.4,21,156,7,102,11,18,16,487,42,5,4,97,19,2,6,37,6,1
TR 154 x 14.1,18,154,6,102,9,17,14,420,37,5,4,78,15,2,4,25,6,1
TR 152 x 11.9,15,152,6,101,7,14,12,362,33,5,4,59,12,2,2,18,7,1
TR 151 x 10.4,13,151,5,101,6,13,10,319,30,5,4,49,10,2,1,13,7,1
TR 144 x 83.3,106,144,19,264,32,44,83,1190,105,3,3,4912,370,7,312,4538,8,1
TR 141 x 74.4,95,141,17,262,28,41,74,1020,91,3,3,4287,328,7,225,3196,8,1
TR 138 x 65.5,83,138,15,262,25,38,65,866,78,3,3,3717,285,7,156,2154,8,1
TR 135 x 57.3,73,135,13,259,22,35,57,724,66,3,3,3197,247,7,106,1426,7,1
TR 132 x 50.6,64,132,12,257,20,32,51,620,57,3,2,2776,216,7,74,972,7,1
TR 130 x 44.6,57,130,11,257,17,30,45,537,50,3,2,2418,188,7,51,661,7,1
TR 128 x 40.2,51,128,9,254,16,28,40,462,43,3,2,2152,169,7,38,478,7,1
TR 127 x 36.5,47,127,9,254,14,27,36,416,39,3,2,1944,153,6,29,357,7,1
TR 128 x 33.5,43,128,9,204,16,28,33,425,40,3,2,1111,109,5,31,263,6,1
TR 126 x 29,37,126,8,203,13,26,29,368,35,3,2,937,92,5,20,165,6,1
TR 124 x 24.6,31,124,7,202,11,24,25,321,32,3,2,762,75,5,12,96,6,1
TR 133 x 22.3,29,133,8,148,13,21,22,386,37,4,3,348,47,3,13,73,6,1
TR 131 x 19.3,25,131,7,147,11,19,19,327,31,4,3,293,40,3,8,46,5,1
TR 129 x 16.4,21,129,6,146,9,17,16,286,28,4,3,238,33,3,5,29,5,1
TR 130 x 14.1,18,130,6,102,10,18,14,278,29,4,3,89,18,2,5,21,5,1
TR 128 x 12.6,16,128,6,102,8,16,13,252,27,4,3,74,15,2,3,16,5,1
TR 127 x 11.2,14,127,6,102,7,14,11,227,25,4,3,60,12,2,2,13,5,1
TR 125 x 8.9,11,125,5,101,5,13,9,181,20,4,3,45,9,2,1,7,5,1
